1346 31 2
1346 35 6
1346 38 3
1346 41 2
1346 42 6
1346 45 4
1346 48 0.5
1346 51 16
1346 55 2
1346 56 2
1346 58 2
1346 60 2
1346 64 3
1346 65 4
1346 68 4
1346 70 0.5
1346 71 2
1346 72 4
1346 73 2
1346 80 4
1346 82 2
13490 1 0.5
13490 20 0.5
13490 35 0.5
135441 0 2
135441 1 0.5
135441 8 0.5
135441 12 1
135441 25 0.5
135441 37 0.5
135441 41 0.5
135441 46 1
135441 60 0.5
135441 68 0.5
135672 0 0.5
135704 0 0.5
135704 22 0.5
136995 6 0.5
136995 7 0.5
136995 13 0.5
136995 15 0.5
136995 93 0.5
138476 1 2
138476 20 2
139 0 2
139 5 2
14 0 2
14 5 2
14 20 2
14 41 2
1407 0 8
1407 4 2
1407 16 2
1423 0 0.5
1423 1 0.5
1423 11 0.5
1423 12 0.5
142445 0 0.5
142865 0 0.5
142865 1 0.5
14322 0 2
14322 15 2
14322 20 2
14322 31 4
14322 76 2
143445 0 2
143445 1 2
143445 70 2
143535 0 2
144 0 3
144 1 2.5
144 24 0.5
144 38 0.5
1451 0 2
1451 1 2
1451 6 2
1451 14 2
1453 0 3
1453 1 2.5
1453 4 0.5
1453 6 3
1453 12 0.5
1453 13 2
1453 15 2
1453 48 2
1453 69 2
145449 0 0.5
145449 37 0.5
145472 0 0.5
145472 4 0.5
14601 6 0.5
14601 7 0.5
14601 9 0.5
14601 46 0.5
1475 0 2
1475 1 1
1475 6 0.5
1475 14 0.5
1475 20 0.5
1475 24 2
149206 6 0.5
149206 13 0.5
149206 14 0.5
14938 0 2
14938 4 2
14938 12 2
14938 69 2
15 0 13.5
15 1 4
15 4 2
15 5 4
15 8 0.5
15 12 2
15 13 2
15 14 2.5
15 19 4
15 24 4
15 41 2
150 0 19.5
150 1 6
150 2 2
150 3 2
150 4 6.5
150 5 9
150 6 2
150 11 2
150 16 0.5
150 19 2
150 22 2
150 24 2
150109 1 0.5
150109 6 0.5
150109 20 0.5
150109 82 0.5
15027 6 0.5
15048 0 0.5
15048 4 0.5
150754 6 0.5
150754 52 0.5
150754 70 0.5
151730 0 2
151730 4 2
15184 0 1
15184 1 1
15184 92 0.5
1521 0 42.5
1521 28 2
1521 42 40.5
1526 0 2
152723 0 0.5
152723 1 0.5
152723 6 1.5
152723 7 0.5
152723 41 0.5
152723 66 0.5
152792 0 1
152792 4 0.5
153510 0 3
153510 4 1
153510 6 0.5
1546 0 2
1546 1 2
1546 14 2
154794 0 3.5
154794 1 5.5
154794 4 0.5
154794 13 0.5
154794 20 3
154794 22 0.5
154794 24 0.5
154794 64 0.5
154794 82 0.5
155 0 3
155 4 1
155 8 2
155 9 2
15549 0 0.5
15565 0 0.5
15589 20 0.5
15589 74 0.5
156681 0 0.5
156681 20 0.5
156885 0 2
157165 0 2
157165 4 2
157165 28 2
157838 20 0.5
158 13 4
158 14 2
158 15 2
158 24 2
158 39 2
15819 0 0.5
15819 1 1
15819 6 0.5
15819 14 0.5
158700 0 0.5
158700 4 0.5
158700 58 0.5
158700 82 0.5
160494 0 2
160494 1 2
16258 20 0.5
16258 75 0.5
16258 84 0.5
1629 0 7.5
1629 9 0.5
1629 13 0.5
1629 14 0.5
1629 20 0.5
1629 28 2
1629 37 0.5
1629 60 0.5
1629 73 0.5
1629 82 0.5
1629 83 0.5
162909 0 1.5
162909 1 0.5
162909 4 0.5
162909 6 2.5
162909 7 1
162909 12 0.5
162909 24 0.5
162909 37 0.5
162909 41 0.5
162909 46 0.5
162909 59 0.5
162909 68 0.5
162909 69 0.5
16302 0 0.5
16302 12 0.5
1634 0 2
1634 24 2
164512 0 0.5
16463 0 1.5
16463 6 0.5
1649 6 0.5
16529 0 2
16529 6 0.5
166523 0 2
166523 4 2
1672 24 2
1674 13 0.5
1674 24 0.5
1674 40 0.5
168832 0 29
168832 6 1
168832 13 0.5
168832 18 0.5
168832 19 4.5
168832 24 0.5
168832 37 2
168832 42 8
168832 68 2
168832 73 0.5
1695 0 4.5
1695 80 2
17 0 24.5
17 1 8.5
17 2 2
17 3 2
17 4 2
17 5 0.5
17 6 4
17 10 2
17 12 2
17 13 2
17 14 4
17 15 2
17 18 0.5
17 19 0.5
17 23 2
1700 0 2
1700 69 2
17128 0 2
17128 6 2
17128 24 2
171366 0 0.5
171366 1 0.5
17156 0 0.5
17358 13 6
17358 14 6
17358 24 6
174099 0 2
174099 37 2
174099 86 2
174984 0 0.5
174984 7 0.5
174984 68 0.5
17580 0 0.5
17580 69 0.5
175990 0 0.5
175990 71 0.5
178121 0 2
17832 0 0.5
17832 22 0.5
17832 71 0.5
178418 0 3.5
178418 12 0.5
178418 37 0.5
178418 58 0.5
178418 86 0.5
178418 91 0.5
180636 0 0.5
180636 6 2
180636 20 0.5
180636 65 2
180636 70 0.5
181 0 4
181 6 1
181 19 2
181 73 0.5
181 75 0.5
181868 0 1.5
181868 68 0.5
181868 95 0.5
181868 96 0.5
183458 6 0.5
183458 41 0.5
18387 0 4.5
18387 4 0.5
18387 23 0.5
18387 41 0.5
18387 46 3
18387 69 2.5
184907 0 0.5
184907 12 0.5
184917 0 0.5
184917 6 0.5
184917 37 0.5
18575 0 1.5
18575 9 0.5
18575 13 0.5
18575 20 0.5
18575 48 0.5
18575 65 0.5
1860 20 2
1876 0 2
1876 13 0.5
1876 14 0.5
1876 24 0.5
18917 0 7.5
18917 1 2
18917 20 0.5
18917 28 2
18917 63 2
18917 73 0.5
18917 82 2
19 0 4
19 1 4
191144 0 0.5
191144 46 0.5
191432 0 6.5
191432 1 0.5
191432 4 3
191432 8 0.5
191432 42 2.5
1916 0 2
1916 2 2
1916 6 0.5
1916 14 2
1916 15 0.5
1916 44 2
1922 0 0.5
1922 10 0.5
1922 12 0.5
192780 0 0.5
193271 0 1.5
193271 7 0.5
193271 9 0.5
193271 68 0.5
193271 69 0.5
1941 0 0.5
1941 12 0.5
19440 0 2
19440 69 2
1948 0 2
1948 12 2
19526 6 0.5
19526 68 0.5
19602 0 2
19602 1 2
1964 0 2
1964 28 2
1976 0 2.5
1976 7 0.5
1976 13 1
1976 14 0.5
1976 15 0.5
1976 37 0.5
1976 57 2
198208 6 0.5
19937 0 0.5
19937 6 0.5
19937 29 0.5
19937 82 0.5
2 13 8
2 14 8
2 24 2
2 33 2
2 37 2
2 83 2
20245 0 0.5
20245 13 0.5
20245 14 0.5
20245 24 0.5
20319 0 2
20319 19 2
20319 71 2
20338 0 1
20338 4 0.5
20338 58 0.5
205028 0 2
205028 47 2
2052 0 2
2052 4 2
2052 30 2
205310 6 1
205397 0 0.5
205397 34 0.5
2087 0 2
2087 5 2
21050 13 0.5
210769 0 2
212 0 33.5
212 1 4
212 4 0.5
212 5 2
212 6 8
212 8 0.5
212 11 2
212 12 2
212 16 0.5
212 24 10
212 25 0.5
212 29 2
212 46 4
212 57 0.5
212 58 0.5
212 59 0.5
212 65 4
212 68 2
21351 0 1
21351 1 1
21499 0 0.5
2153 0 0.5
2160 0 4.5
2160 24 2.5
2160 38 2
216982 0 0.5
216982 12 0.5
21703 20 2.5
21703 41 2
21703 43 2
217088 0 0.5
217210 0 0.5
217210 37 0.5
217210 68 0.5
217608 0 0.5
21790 0 0.5
21790 2 0.5
21790 6 0.5
21790 20 0.5
21790 46 0.5
21856 0 2
219 0 12.5
219 6 6
219 7 2
219 12 0.5
219 18 2
219 19 12.5
219 20 1
219 63 0.5
219 71 2
219 78 0.5
219 79 2
219 84 0.5
219 100 0.5
219119 0 0.5
219119 46 0.5
219328 6 0.5
219328 68 0.5
21950 0 0.5
21985 0 2
21985 43 2
2200 0 2
2200 4 2
22003 0 3
22003 6 3
22003 12 2
22003 13 2.5
22003 20 2.5
22003 37 2
22003 43 0.5
22003 61 2.5
22003 81 2
22003 87 0.5
2201 0 2
2201 58 2
2202 0 0.5
22061 0 4
22061 47 4
220880 0 1
220880 37 0.5
